1	2	1272309	100199990002	15	A155182777	A155182777888	1001	888	1	0	20140116	0	0	 	33173	  	0								100199990002	
2	2	1373970	101818041362	15	A402702652	A402702652888	1018	888	1	0	20140116	0	0	 	12881	  	0								101818041362	
3	2	1432871	100899990002	15	A389968636	A389968636888	1008	888	1	0	20140116	0	0	 	22976	  	0								100899990002	
4	2	2101105	980099990001	15	A474550518	A474550518888	9800	888	1	0	20140116	0	0	 	21239	  	0								980099990001	
5	2	2163891	360020029763	15	A407434466	A407434466888	3602	888	1	0	20140116	0	0	 	21239	  	0								360020029763	
6	2	10174813	800308496619	15	A275578892	A275578892888	8003	888	1	0	20140116	0	0	 	13200	  	0								800308496619	
7	2	10174813	800308496619	15	A275578893	A275578893888	8003	888	1	0	20140116	0	0	 	13200	  	0								800308496619	
8	2	100108372	800029990021	15	A624182236	A624182236888	8001	888	1	0	20140116	0	0	 	21761	  	0								800029990021	
9	2	100224960	10599990005	15	A704870519	A704870519888	105	888	1	0	20140116	0	0	 	23208	  	0								10599990005	
10	2	100246488	10999990007	15	A232159374	A232159374888	109	888	1	0	20140116	0	0	 	21684	  	0								10999990007	
11	2	100286110	360009990028	15	A780384834	A780384834888	3600	888	1	0	20140116	0	0	 	21239	  	0								360009990028	
12	2	100351807	102299990003	15	A430626246	A430626246888	1022	888	1	0	20140116	0	0	 	21246	  	0								102299990003	
13	2	100593310	10599990006	15	A261256019	A261256019888	105	888	1	0	20140116	0	0	 	23208	  	0								10599990006	
14	2	100663179	100282020913	15	A780389062	A780389062888	1002	888	1	0	20140116	0	0	 	 	  	0								100282020913	
15	2	100694802	980099990003	15	A163901119	A163901119888	9800	888	1	0	20140116	0	0	 	21239	  	0								980099990003	
16	2	100706118	480000890010	15	A780386145	A780386145888	4803	888	1	0	20140116	0	0	 	 	  	0								480000890010	
17	2	100786729	101818041363	15	A330688658	A330688658888	1018	888	1	0	20140116	0	0	 	12881	  	0								101818041363	
18	2	100802477	800059990001	15	A336574108	A336574108888	8003	888	1	0	20140116	0	0	 	21761	  	0								800059990001	
19	2	100850038	360009990027	15	A780389232	A780389232888	3600	888	1	0	20140116	0	0	 	21239	  	0								360009990027	
20	2	100857642	480000890008	15	A780385149	A780385149888	4803	888	1	0	20140116	0	0	 	 	  	0								480000890008	
21	2	100892559	480000890009	15	A157514904	A157514904888	4803	888	1	0	20140116	0	0	 	23267	  	0								480000890009	
22	2	100898438	101818041361	15	A641334210	A641334210888	1018	888	1	0	20140116	0	0	 	12881	  	0								101818041361	
23	2	100925293	820019990009	15	A780392138	A780392138888	8201	888	1	0	20140116	0	0	 	21759	  	0								820019990009	
24	2	100988374	100899990001	15	A403047335	A403047335888	1008	888	1	0	20140116	0	0	 	22976	  	0								100899990001	
25	2	101176738	370009990012	15	A780387450	A780387450888	3700	888	1	0	20140116	0	0	 	21239	  	0								370009990012	
26	2	101203372	490029990037	15	A780392887	A780392887888	4900	888	1	0	20140116	0	0	 	 	  	0								490029990037	
27	2	101232741	490029990038	15	A780393192	A780393192888	4900	888	1	0	20140116	0	0	 	 	  	0								490029990038	
28	2	101245706	480000890005	15	A780386218	A780386218888	4803	888	1	0	20140116	0	0	 	 	  	0								480000890005	
29	2	101253676	980099990002	15	A171332170	A171332170888	9800	888	1	0	20140116	0	0	 	21239	  	0								980099990002	
30	2	101261290	360009990029	15	A780384907	A780384907888	3600	888	1	0	20140116	0	0	 	21239	  	0								360009990029	
31	2	101273407	370299990009	15	A780391807	A780391807888	3702	888	1	0	20140116	0	0	 	21239	  	0								370299990009	
32	2	101330092	80199990006	15	A780376661	A780376661888	801	888	1	0	20140116	0	0	 	 	  	0								80199990006	
33	2	101330115	101299990013	15	A780384428	A780384428888	1012	888	1	0	20140116	0	0	 	21246	  	0								101299990013	
34	2	101330116	10699990001	15	A780384737	A780384737888	106	888	1	0	20140116	0	0	 	23208	  	0								10699990001	
35	2	101330118	10699990002	15	A780385898	A780385898888	106	888	1	0	20140116	0	0	 	23208	  	0								10699990002	
36	2	101330119	102299990002	15	A780385505	A780385505888	1022	888	1	0	20140116	0	0	 	21246	  	0								102299990002	
37	2	101330121	890299990005	15	A780385880	A780385880888	8902	888	1	0	20140116	0	0	 	22976	  	0								890299990005	
38	2	101330122	102299990005	15	A780386048	A780386048888	1022	888	1	0	20140116	0	0	 	21246	  	0								102299990005	
39	2	101330123	10799990019	15	A780386268	A780386268888	107	888	1	0	20140116	0	0	 	23208	  	0								10799990019	
40	2	101330126	890699990009	15	A780386959	A780386959888	8906	888	1	0	20140116	0	0	 	23294	  	0								890699990009	
41	2	101330127	410099990027	15	A780386941	A780386941888	4100	888	1	0	20140116	0	0	 	21239	  	0								410099990027	
42	2	101330128	410099990021	15	A780387117	A780387117888	4100	888	1	0	20140116	0	0	 	21239	  	0								410099990021	
43	2	101330129	410099990023	15	A780387400	A780387400888	4100	888	1	0	20140116	0	0	 	21239	  	0								410099990023	
44	2	101330131	30099990011	15	A780387939	A780387939888	300	888	1	0	20140116	0	0	 	23294	  	0								30099990011	
45	2	101330132	410099990022	15	A780388456	A780388456888	4100	888	1	0	20140116	0	0	 	21239	  	0								410099990022	
46	2	101330133	102299990001	15	A780388448	A780388448888	1022	888	1	0	20140116	0	0	 	21246	  	0								102299990001	
47	2	101330135	410099990025	15	A780388537	A780388537888	4100	888	1	0	20140116	0	0	 	21239	  	0								410099990025	
48	2	101330136	370399990001	15	A780388723	A780388723888	3703	888	1	0	20140116	0	0	 	21239	  	0								370399990001	
